id_cliente;edad;importe_solicitado;duracion_credito;antiguedad_empleado;situacion_vivienda;ingresos;objetivo_credito;pct_ingreso;tasa_interes;estado_credito;antiguedad_cliente;estado_civil;estado_cliente;gastos_ult_12m;genero;limite_credito_tc;nivel_educativo;nivel_tarjeta;operaciones_ult_12m;personas_a_cargo
708545186;23;7000;4;3.0;ALQUILER;52000;SALUD;0.2;13.47;0;36;SOLTERO;ACTIVO;5136.0;F;1438.3;UNIVERSITARIO_COMPLETO;Blue;81.0;2.0
708679481;22;8000;3;0.0;HIPOTECA;46000;SALUD;0.25;14.42;1;32;DESCONOCIDO;ACTIVO;1775.0;F;4852.0;DESCONOCIDO;Blue;55.0;2.0
708680691;24;11000;3;3.0;ALQUILER;41280;INVERSIONES;0.11;9.25;0;36;CASADO;ACTIVO;4940.0;F;2043.0;UNIVERSITARIO_COMPLETO;Blue;68.0;1.0
708681817;22;8000;3;6.0;ALQUILER;62000;PERSONAL;0.11;12.72;0;43;SOLTERO;PASIVO;1977.0;F;3245.0;DESCONOCIDO;Blue;29.0;2.0
708683032;24;18000;4;8.0;ALQUILER;180000;EDUCACIÓN;0.09;5.99;0;28;SOLTERO;ACTIVO;8644.0;F;2838.0;DESCONOCIDO;Blue;87.0;4.0
708684211;23;3000;3;4.0;HIPOTECA;56000;EDUCACIÓN;0.13;9.07;0;34;CASADO;PASIVO;2218.0;F;4152.0;UNIVERSITARIO_COMPLETO;Blue;30.0;4.0
708687567;24;8000;2;2.0;ALQUILER;40000;PERSONAL;0.07;13.35;0;36;SOLTERO;PASIVO;1711.0;F;13626.0;UNIVERSITARIO_COMPLETO;Silver;30.0;4.0
708688748;23;1200;4;4.0;ALQUILER;58000;EDUCACIÓN;0.29;6.54;0;48;CASADO;ACTIVO;1626.0;F;3140.0;SECUNDARIO_COMPLETO;Blue;41.0;1.0
708690072;26;5000;3;3.0;ALQUILER;40000;PAGO_DEUDAS;0.2;14.22;0;36;DESCONOCIDO;ACTIVO;4748.0;F;2406.0;DESCONOCIDO;Blue;88.0;4.0
708692706;23;7000;4;1.0;HIPOTECA;65000;INVERSIONES;0.12;10.28;1;31;SOLTERO;PASIVO;2312.0;F;1506.0;SECUNDARIO_COMPLETO;Blue;44.0;2.0
708693665;23;8000;3;7.0;ALQUILER;55000;INVERSIONES;0.28;13.72;0;38;SOLTERO;ACTIVO;7344.0;F;12569.0;SECUNDARIO_COMPLETO;Silver;95.0;3.0
708695094;25;6000;3;0.0;ALQUILER;40000;EDUCACIÓN;0.33;7.51;1;36;DESCONOCIDO;ACTIVO;14750.0;F;3150.0;UNIVERSITARIO_INCOMPLETO;Blue;96.0;1.0
708698107;25;7675;3;6.0;ALQUILER;65000;PERSONAL;0.02;13.85;0;49;DESCONOCIDO;ACTIVO;8766.0;M;34516.0;SECUNDARIO_COMPLETO;Blue;78.0;0.0
708699194;25;6000;2;6.0;ALQUILER;47000;INVERSIONES;0.07;10.25;0;36;SOLTERO;ACTIVO;4890.0;F;1438.3;SECUNDARIO_COMPLETO;Blue;53.0;2.0
708701436;21;4200;2;0.0;HIPOTECA;38400;EDUCACIÓN;0.1;10.37;0;36;SOLTERO;ACTIVO;4000.0;F;2370.0;UNIVERSITARIO_INCOMPLETO;Blue;79.0;2.0
708702390;24;2800;4;3.0;PROPIA;48000;MEJORAS_HOGAR;0.17;12.99;1;36;SOLTERO;PASIVO;2051.0;F;3698.0;UNIVERSITARIO_INCOMPLETO;Blue;31.0;3.0
708703430;24;7500;4;0.0;ALQUILER;79992;PAGO_DEUDAS;0.26;14.83;1;26;CASADO;PASIVO;16937.0;F;7020.0;UNIVERSITARIO_INCOMPLETO;Blue;116.0;3.0
708704534;26;6000;3;3.0;ALQUILER;51500;SALUD;0.04;8.88;0;23;SOLTERO;ACTIVO;4612.0;M;3569.0;UNIVERSITARIO_INCOMPLETO;Blue;75.0;2.0
708705882;21;2000;3;0.0;ALQUILER;33000;MEJORAS_HOGAR;0.15;14.27;0;36;CASADO;PASIVO;2445.0;F;1438.3;UNIVERSITARIO_INCOMPLETO;Blue;39.0;3.0
708706969;25;6325;4;3.0;ALQUILER;25000;SALUD;0.34;12.53;1;36;DIVORCIADO;PASIVO;2631.0;M;2900.0;UNIVERSITARIO_COMPLETO;Blue;72.0;2.0
708707953;25;20000;4;9.0;ALQUILER;140000;EDUCACIÓN;0.07;7.14;0;45;DESCONOCIDO;ACTIVO;8444.0;M;34516.0;UNIVERSITARIO_COMPLETO;Silver;68.0;3.0
708708957;21;6400;3;0.0;ALQUILER;24000;EDUCACIÓN;0.19;;0;36;SOLTERO;PASIVO;2073.0;M;1656.0;UNIVERSITARIO_COMPLETO;Blue;44.0;1.0
708710411;23;8800;4;7.0;HIPOTECA;54000;SALUD;0.11;11.36;0;36;CASADO;ACTIVO;4887.0;F;2066.0;UNIVERSITARIO_INCOMPLETO;Blue;76.0;3.0
708711621;23;2800;4;2.0;ALQUILER;24000;SALUD;0.03;7.68;0;46;CASADO;ACTIVO;757.0;M;3212.0;DESCONOCIDO;Blue;20.0;2.0
708712938;23;3600;3;1.0;ALQUILER;24216;EDUCACIÓN;0.21;10.25;0;36;CASADO;ACTIVO;2198.0;M;2708.0;DESCONOCIDO;Blue;41.0;0.0
708714243;26;7200;4;0.0;HIPOTECA;60000;PAGO_DEUDAS;0.43;18.43;0;31;SOLTERO;ACTIVO;3415.0;M;9389.0;SECUNDARIO_COMPLETO;Blue;84.0;2.0
708720636;24;8000;2;5.0;ALQUILER;28800;SALUD;0.13;12.42;0;30;CASADO;ACTIVO;4786.0;M;11502.0;SECUNDARIO_COMPLETO;Blue;85.0;4.0
708721644;25;5000;3;3.0;ALQUILER;15600;SALUD;0.25;;0;36;CASADO;ACTIVO;8534.0;M;13344.0;UNIVERSITARIO_INCOMPLETO;Blue;86.0;3.0
708722682;21;3500;3;0.0;ALQUILER;15600;PERSONAL;0.22;16.07;1;36;SOLTERO;ACTIVO;14542.0;F;3310.0;UNIVERSITARIO_INCOMPLETO;Blue;89.0;4.0
708723939;22;6000;2;3.0;HIPOTECA;57600;PERSONAL;0.1;10.0;0;37;SOLTERO;ACTIVO;1052.0;F;3471.0;UNIVERSITARIO_COMPLETO;Blue;24.0;1.0
708724991;24;4375;2;9.0;ALQUILER;16800;PAGO_DEUDAS;0.26;9.99;1;35;SOLTERO;ACTIVO;7926.0;M;31987.0;UNIVERSITARIO_INCOMPLETO;Blue;83.0;3.0
708726844;25;20000;4;0.0;PROPIA;50000;MEJORAS_HOGAR;0.4;11.71;0;36;SOLTERO;PASIVO;4544.0;M;2447.0;UNIVERSITARIO_INCOMPLETO;Blue;80.0;4.0
708728069;25;6000;2;3.0;ALQUILER;56000;MEJORAS_HOGAR;0.11;10.74;0;36;SOLTERO;ACTIVO;1472.0;F;3590.0;UNIVERSITARIO_INCOMPLETO;Blue;37.0;2.0
708731803;26;6000;4;0.0;HIPOTECA;45000;SALUD;0.13;14.27;0;41;CASADO;PASIVO;1587.0;F;1438.3;SECUNDARIO_COMPLETO;Blue;42.0;0.0
708734077;21;10800;3;3.0;ALQUILER;57000;EDUCACIÓN;0.19;13.22;0;31;CASADO;ACTIVO;2122.0;F;5349.0;POSGRADO_COMPLETO;Blue;46.0;1.0
708735327;24;13300;4;9.0;ALQUILER;39875;PERSONAL;0.33;16.0;1;48;SOLTERO;PASIVO;2289.0;F;2544.0;SECUNDARIO_COMPLETO;Blue;49.0;2.0
708736745;24;2000;4;0.0;HIPOTECA;51024;MEJORAS_HOGAR;0.04;12.99;0;41;SOLTERO;ACTIVO;2108.0;M;2269.0;UNIVERSITARIO_COMPLETO;Blue;39.0;3.0
708740914;25;3025;2;3.0;ALQUILER;17436;INVERSIONES;0.17;11.49;1;56;SOLTERO;ACTIVO;2949.0;M;4112.0;UNIVERSITARIO_COMPLETO;Blue;54.0;4.0
708741711;21;2000;2;0.0;ALQUILER;15600;SALUD;0.13;7.9;0;36;CASADO;PASIVO;1771.0;M;4153.0;SECUNDARIO_COMPLETO;Blue;41.0;4.0
708745060;23;9800;4;3.0;HIPOTECA;27600;EDUCACIÓN;0.36;7.29;0;35;CASADO;ACTIVO;1859.0;M;19127.0;SECUNDARIO_COMPLETO;Blue;33.0;2.0
708746103;26;6400;3;2.0;ALQUILER;48000;PAGO_DEUDAS;0.13;13.47;0;42;SOLTERO;ACTIVO;4686.0;F;2208.0;DESCONOCIDO;Blue;81.0;2.0
708747804;22;1000;3;6.0;HIPOTECA;36000;SALUD;0.03;9.99;0;30;CASADO;PASIVO;2512.0;M;3498.0;UNIVERSITARIO_COMPLETO;Blue;56.0;3.0
708748969;23;13000;4;3.0;HIPOTECA;60000;PERSONAL;0.22;7.88;0;44;SOLTERO;ACTIVO;8920.0;F;9875.0;UNIVERSITARIO_COMPLETO;Blue;105.0;3.0
708753767;25;7400;4;0.0;ALQUILER;42000;EDUCACIÓN;0.18;16.32;1;34;CASADO;ACTIVO;4462.0;F;1438.3;POSGRADO_COMPLETO;Blue;77.0;3.0
708754941;24;15000;3;3.0;HIPOTECA;45000;INVERSIONES;0.33;13.06;0;36;SOLTERO;ACTIVO;4583.0;F;2827.0;UNIVERSITARIO_INCOMPLETO;Blue;72.0;3.0
708757327;22;7500;3;6.0;HIPOTECA;36000;INVERSIONES;0.21;7.14;0;28;SOLTERO;ACTIVO;3697.0;F;2485.0;SECUNDARIO_COMPLETO;Blue;77.0;2.0
708758739;23;12000;2;7.0;HIPOTECA;35000;PAGO_DEUDAS;0.34;12.42;0;35;DIVORCIADO;ACTIVO;3951.0;M;34516.0;UNIVERSITARIO_COMPLETO;Blue;76.0;4.0
708759492;24;9000;2;6.0;ALQUILER;38400;PAGO_DEUDAS;0.23;7.9;0;36;SOLTERO;ACTIVO;15124.0;F;4207.0;UNIVERSITARIO_INCOMPLETO;Blue;108.0;3.0
708760594;26;9000;4;3.0;ALQUILER;65000;SALUD;0.14;11.86;0;32;SOLTERO;ACTIVO;3692.0;M;17655.0;SECUNDARIO_COMPLETO;Blue;79.0;1.0
708761829;23;7000;3;1.0;ALQUILER;39000;INVERSIONES;0.18;16.77;1;27;SOLTERO;ACTIVO;4419.0;F;8279.0;SECUNDARIO_COMPLETO;Blue;63.0;3.0
708766069;26;9825;4;10.0;PROPIA;50000;INVERSIONES;0.2;7.9;0;32;DIVORCIADO;ACTIVO;4866.0;M;5464.0;POSGRADO_INCOMPLETO;Blue;81.0;2.0
708768393;24;7000;4;0.0;ALQUILER;90000;SALUD;0.08;13.99;0;39;CASADO;ACTIVO;4678.0;F;2066.0;POSGRADO_COMPLETO;Blue;91.0;4.0
708770959;24;3200;2;8.0;HIPOTECA;61500;INVERSIONES;0.05;11.49;0;28;CASADO;ACTIVO;15301.0;M;16667.0;UNIVERSITARIO_INCOMPLETO;Blue;115.0;2.0
708772445;25;20000;4;0.0;ALQUILER;64000;MEJORAS_HOGAR;0.31;;1;37;DESCONOCIDO;PASIVO;1455.0;M;4119.0;UNIVERSITARIO_INCOMPLETO;Blue;35.0;3.0
708773710;23;4800;4;2.0;ALQUILER;45000;EDUCACIÓN;0.11;13.22;0;35;SOLTERO;ACTIVO;3987.0;F;10859.0;UNIVERSITARIO_COMPLETO;Blue;64.0;3.0
708774794;25;4000;2;3.0;ALQUILER;50000;EDUCACIÓN;0.08;14.61;0;36;CASADO;PASIVO;3858.0;F;2636.0;UNIVERSITARIO_COMPLETO;Blue;70.0;4.0
708776770;21;7200;4;5.0;HIPOTECA;44004;INVERSIONES;0.16;11.89;0;28;DESCONOCIDO;ACTIVO;4444.0;M;5774.0;DESCONOCIDO;Blue;70.0;2.0
708780871;26;8000;2;9.0;HIPOTECA;53000;PAGO_DEUDAS;0.15;7.88;0;36;DIVORCIADO;ACTIVO;4739.0;F;2434.0;UNIVERSITARIO_COMPLETO;Blue;76.0;3.0
708784167;24;5000;2;7.0;HIPOTECA;52000;SALUD;0.1;14.22;0;36;CASADO;PASIVO;4307.0;F;2723.0;UNIVERSITARIO_INCOMPLETO;Blue;83.0;3.0
708785048;26;10700;4;2.0;ALQUILER;48000;EDUCACIÓN;0.22;9.63;0;36;SOLTERO;ACTIVO;4435.0;F;18064.0;UNIVERSITARIO_COMPLETO;Blue;88.0;3.0
708788652;23;4000;2;0.0;ALQUILER;28800;EDUCACIÓN;0.14;5.42;0;23;SOLTERO;ACTIVO;1648.0;F;6167.0;UNIVERSITARIO_INCOMPLETO;Blue;43.0;1.0
708790911;21;4500;2;2.0;PROPIA;10000;MEJORAS_HOGAR;0.45;8.63;1;36;SOLTERO;ACTIVO;1201.0;M;6748.0;UNIVERSITARIO_INCOMPLETO;Blue;42.0;5.0
708793104;26;12000;3;8.0;HIPOTECA;44000;SALUD;0.27;18.84;1;18;SOLTERO;ACTIVO;2207.0;M;9949.0;POSGRADO_COMPLETO;Blue;40.0;3.0
708794219;25;8500;2;7.0;ALQUILER;55000;SALUD;0.15;14.22;0;36;CASADO;ACTIVO;3197.0;F;2533.0;SECUNDARIO_COMPLETO;Blue;50.0;4.0
708796518;21;6000;2;5.0;HIPOTECA;34000;EDUCACIÓN;0.18;6.76;0;18;SOLTERO;ACTIVO;3016.0;F;4199.0;UNIVERSITARIO_COMPLETO;Blue;67.0;2.0
708797692;26;5000;3;4.0;ALQUILER;31000;EDUCACIÓN;0.16;14.96;0;31;SOLTERO;PASIVO;2576.0;F;2672.0;DESCONOCIDO;Blue;39.0;4.0
708798582;25;1600;3;9.0;HIPOTECA;41508;EDUCACIÓN;0.04;13.11;0;24;SOLTERO;PASIVO;2567.0;F;2054.0;DESCONOCIDO;Blue;43.0;3.0
708800107;22;1200;4;0.0;ALQUILER;34000;MEJORAS_HOGAR;0.04;14.61;1;36;CASADO;PASIVO;1698.0;M;18386.0;POSGRADO_INCOMPLETO;Blue;43.0;1.0
708801207;24;4500;2;8.0;ALQUILER;38000;SALUD;0.12;10.83;0;51;SOLTERO;PASIVO;2113.0;F;1438.3;UNIVERSITARIO_INCOMPLETO;Blue;38.0;3.0
708804715;23;9800;2;7.0;ALQUILER;66300;SALUD;0.13;15.7;1;36;DIVORCIADO;PASIVO;2888.0;F;1916.0;POSGRADO_COMPLETO;Blue;39.0;2.0
708806030;26;8000;4;6.0;ALQUILER;76000;MEJORAS_HOGAR;0.11;13.48;1;18;CASADO;PASIVO;9299.0;M;10017.0;UNIVERSITARIO_COMPLETO;Silver;68.0;2.0
708807600;24;5600;3;7.0;ALQUILER;48000;SALUD;0.12;11.14;0;45;CASADO;ACTIVO;3837.0;F;9117.0;UNIVERSITARIO_COMPLETO;Blue;75.0;3.0
708809391;25;3250;3;9.0;HIPOTECA;42000;MEJORAS_HOGAR;0.08;10.0;0;33;DIVORCIADO;PASIVO;2414.0;F;10360.0;UNIVERSITARIO_COMPLETO;Blue;28.0;4.0
708811360;25;11500;4;2.0;HIPOTECA;30000;PERSONAL;0.38;8.59;0;27;CASADO;ACTIVO;1992.0;M;12702.0;UNIVERSITARIO_COMPLETO;Blue;40.0;2.0
708812238;22;4800;3;0.0;ALQUILER;21600;SALUD;0.22;13.49;0;39;CASADO;ACTIVO;4110.0;F;2270.0;UNIVERSITARIO_COMPLETO;Blue;75.0;3.0
708813117;24;24000;2;4.0;ALQUILER;48000;INVERSIONES;0.5;16.29;1;36;SOLTERO;ACTIVO;1409.0;M;6509.0;UNIVERSITARIO_COMPLETO;Blue;37.0;1.0
708816544;26;3000;4;9.0;ALQUILER;71000;SALUD;0.04;;0;32;SOLTERO;ACTIVO;3063.0;M;21756.0;UNIVERSITARIO_INCOMPLETO;Blue;71.0;4.0
708817695;21;6250;3;2.0;ALQUILER;21000;EDUCACIÓN;0.3;13.85;0;24;CASADO;ACTIVO;4218.0;F;3427.0;SECUNDARIO_COMPLETO;Blue;74.0;3.0
708818634;25;6000;4;0.0;ALQUILER;51541;PAGO_DEUDAS;0.12;12.18;0;26;CASADO;ACTIVO;4386.0;M;3453.0;DESCONOCIDO;Blue;68.0;1.0
708820392;24;25000;2;7.0;ALQUILER;110000;MEJORAS_HOGAR;0.23;15.7;0;36;DESCONOCIDO;ACTIVO;1326.0;M;13399.0;POSGRADO_INCOMPLETO;Blue;31.0;3.0
708821815;23;9000;2;7.0;ALQUILER;45000;EDUCACIÓN;0.2;10.65;0;36;SOLTERO;PASIVO;8301.0;F;19713.0;DESCONOCIDO;Silver;70.0;3.0
708822865;23;6000;2;2.0;ALQUILER;80607;SALUD;0.07;12.21;0;36;SOLTERO;ACTIVO;4862.0;F;2973.0;SECUNDARIO_COMPLETO;Blue;77.0;2.0
708824036;25;3000;4;6.0;ALQUILER;33000;PERSONAL;0.09;10.95;0;28;SOLTERO;ACTIVO;4252.0;M;16443.0;UNIVERSITARIO_COMPLETO;Blue;64.0;3.0
708825069;23;15000;3;2.0;PROPIA;56000;SALUD;0.27;10.62;0;42;SOLTERO;ACTIVO;4265.0;F;1460.0;SECUNDARIO_COMPLETO;Blue;63.0;4.0
708826231;23;8000;2;3.0;ALQUILER;48000;PAGO_DEUDAS;0.17;15.58;1;27;DIVORCIADO;ACTIVO;8608.0;F;3670.0;UNIVERSITARIO_INCOMPLETO;Blue;100.0;4.0
708828373;26;1450;3;5.0;ALQUILER;55560;SALUD;0.03;14.27;0;37;CASADO;ACTIVO;1327.0;M;32641.0;UNIVERSITARIO_INCOMPLETO;Blue;30.0;2.0
708829846;26;20000;2;10.0;HIPOTECA;49000;EDUCACIÓN;0.41;10.0;0;36;CASADO;ACTIVO;3877.0;M;6062.0;SECUNDARIO_COMPLETO;Blue;66.0;2.0
708831932;22;5000;2;6.0;HIPOTECA;40000;PAGO_DEUDAS;0.13;12.99;0;30;CASADO;PASIVO;1915.0;F;4579.0;UNIVERSITARIO_INCOMPLETO;Blue;44.0;3.0
708833250;22;1000;4;2.0;ALQUILER;16800;EDUCACIÓN;0.06;13.48;0;29;DIVORCIADO;ACTIVO;2027.0;F;3170.0;UNIVERSITARIO_COMPLETO;Blue;49.0;3.0
708834604;23;4000;4;0.0;ALQUILER;50952;EDUCACIÓN;0.08;11.54;0;29;CASADO;PASIVO;1775.0;M;17667.0;POSGRADO_COMPLETO;Blue;42.0;2.0
708837944;26;5000;2;1.0;ALQUILER;51600;MEJORAS_HOGAR;0.1;8.94;1;34;DESCONOCIDO;ACTIVO;4423.0;F;2718.0;POSGRADO_COMPLETO;Blue;68.0;4.0
708838996;23;10000;2;0.0;ALQUILER;120000;PAGO_DEUDAS;0.08;11.66;0;42;SOLTERO;ACTIVO;3192.0;F;5129.0;DESCONOCIDO;Blue;61.0;3.0
708841338;24;8000;3;5.0;ALQUILER;75000;INVERSIONES;0.11;15.37;0;33;CASADO;PASIVO;8193.0;M;14682.0;UNIVERSITARIO_INCOMPLETO;Blue;72.0;2.0
708846301;22;14550;4;1.0;HIPOTECA;45000;EDUCACIÓN;0.32;11.83;0;30;SOLTERO;ACTIVO;4006.0;M;3307.0;UNIVERSITARIO_INCOMPLETO;Blue;68.0;4.0
